id_lo,id_mid,id_hi,n
96,186,1527,19
96,936,1216,13
97,437,1519,12
97,757,1149,108
97,1046,1715,108
97,1269,1636,107
98,238,697,109
98,486,1031,110
98,714,1680,119
99,903,1665,108
99,1006,1049,105
100,353,412,18
100,979,1608,113
100,1360,1819,105
101,236,991,106
101,1003,1509,111
101,1450,1666,10
102,591,1133,107
103,230,1063,19
103,487,1435,109
104,390,1490,103
104,1288,1561,105
104,1381,1795,101
104,1500,1619,108
105,210,1307,114
105,638,1689,14
106,248,908,17
106,502,1781,20
106,555,1534,105
106,649,1681,17
106,663,1733,109
106,724,732,112
106,889,1019,104
106,1234,1461,111
106,1482,1785,109
107,370,459,110
107,529,943,17
107,612,1029,110
108,813,1264,111
108,1082,1377,14
109,207,782,110
109,380,893,14
109,912,1385,18
109,916,1425,115
109,1038,1557,109
110,161,982,113
110,495,594,18
111,524,1725,111
111,1206,1788,15
111,1461,1797,111
112,618,1247,14
112,780,1733,107
112,1190,1625,17
113,285,1082,11
113,700,962,114
113,1245,1538,13
114,507,1183,18
115,559,1341,109
115,663,1557,108
115,725,1091,17
116,460,587,15
116,825,1192,109
117,172,734,15
117,463,1435,109
117,587,685,16
118,406,691,110
118,583,1171,111
118,617,1722,16
119,357,871,107
119,358,626,14
119,856,1673,113
120,1528,1818,17
121,165,775,111
121,208,835,19
121,499,595,110
122,657,1145,105
123,139,566,113
123,554,1393,18
123,628,904,16
124,137,1564,15
124,374,1486,105
125,167,1496,16
125,426,633,115
125,674,1574,15
125,854,1381,15
125,859,1265,18
125,937,1831,12
126,212,1546,17
126,465,1031,13
126,588,953,114
127,208,1003,105
127,733,1106,16
127,816,1179,12
127,1420,1426,117
127,1802,1839,108
128,136,1026,106
129,201,623,15
129,316,1407,113
129,1180,1575,15
129,1765,1800,14
130,255,817,114
130,346,715,118
130,1065,1254,14
131,861,1618,108
131,881,1101,107
132,235,842,109
132,957,1343,17
133,506,1608,15
133,551,1073,106
133,666,1738,13
134,161,643,16
134,221,1390,19
134,308,1742,106
134,348,384,105
134,489,868,15
134,533,814,17
134,865,1030,18
134,880,1646,109
134,1177,1179,21
135,238,1218,16
135,520,542,18
135,1261,1501,108
136,740,997,107
137,995,1188,111
137,1350,1565,105
138,145,644,15
138,249,1356,105
138,299,1610,20
138,374,982,13
138,810,1381,15
138,1523,1733,16
139,992,1658,15
139,1521,1823,12
140,243,1849,110
141,159,433,117
141,431,1470,111
141,954,1509,109
141,1004,1310,17
142,572,1055,113
142,1193,1787,14
143,542,955,107
143,1705,1831,101
145,249,1675,13
145,797,1793,103
145,1104,1659,19
146,1000,1739,15
147,641,1137,104
148,612,1195,17
148,646,1188,17
148,930,1372,110
148,1470,1751,16
149,916,1184,105
149,1228,1241,15
150,305,1425,114
150,484,1152,107
150,1025,1354,16
151,186,1718,110
151,208,1652,103
151,629,743,13
151,1147,1794,17
151,1291,1446,117
152,552,1118,106
153,245,1075,13
153,289,1656,17
153,476,1015,18
153,750,1224,111
153,1159,1697,109
154,501,1784,19
155,475,1325,17
155,545,761,115
155,1001,1429,107
155,1126,1461,19
156,590,1178,111
156,670,1802,18
156,856,1851,15
157,550,1230,110
157,963,994,17
158,171,1686,102
158,766,1605,17
158,1269,1453,107
159,512,885,15
159,1376,1408,107
159,1462,1547,100
160,276,666,13
160,891,1333,115
160,1288,1727,14
161,449,1658,19
161,595,1551,106
161,732,1682,18
162,496,799,19
162,525,1442,15
162,980,1798,111
163,351,1811,110
163,588,1389,111
163,1016,1457,112
163,1502,1699,15
164,462,1842,114
165,264,514,14
166,261,1659,110
166,359,1529,111
166,684,1678,14
166,702,830,116
167,496,624,111
167,753,1461,109
167,795,1480,109
168,268,725,115
168,330,614,18
168,595,1618,112
168,1094,1831,107
169,936,1762,14
169,1493,1551,14
170,358,1004,16
170,973,1038,16
170,1164,1343,18
172,174,1519,107
172,651,773,14
172,1717,1726,108
173,469,967,13
173,798,816,111
