participant_id,session_id,workHistory,interests1,interests2,interests3,feedback
50,1,"Cashier, Pizza assembler, MUA, Dispatch Analyst, Tech Officer","Fashion, health, arts, politics, technology","Swimming, Netflix, Gardening, Singing","CS, psych, fashion design",N/A
52,1,Software Developer,"competetive programming, doing studies on Prolific","walking, watching Nextflix series, wathcing esports",competetive programming,-
54,1,"Senior manager, CFO, CSO, head of the department of suply chain","News, Live sports, Current events.","Spending time with my family, meditating, taking long walks around the neighborhood, watching movies and series, camping, fishing","physcology, science, computer, IT.",This study fried my brain and it was fun. Thank you! Have a great day!
55,1,data analyst,"education, technology","reading, cooking","statistics, mathematics, psychology",no
56,1,physical worker,"football, bet on sports.","doing sports, walk with dog, watch films",stock market,no
57,1,"cook, administrator, teacher","F1, history","spending time with my grandchildren, gardening",psychology,I really enjoyed this study
58,1,"store assistant, admin clerk, admin officer, admin manager","politics, art","exercising, baking, watching national geographics, spending time and spoiling my grand children",black empowerment,no
59,1,"Secretary, administration clerk, receptionist, chef.","Cooking, following local politics, local sports teams.","Sudoku, time with family, watching TV, listening to music.","Societal issues, community programs, computer programs to create short music films.",Very interesting study.
60,1,"cleaner,edc","local politics,drawing,dancing","playing netball,","mathematics ,first aid",no
61,1,Therapist,Reading,Playing tennies,"Philosophy,Finance",thank you for the opportunity
62,1,"Dating Service owner, Real Estate Agent, Mortgage Broker, Editor,","Politics, Family, Crochet, Tie-dye,","True Crime, History","WW2 History, AI, Crochet",Danke viele mals!
63,1,Information Technologist,"Designs, politics",creating videos,"English, Literature, Programming",no
65,1,HR,"travelling,cooking,fashion,technology,gaming,parting,sports and politics","travelling,cooking,fashion,technology,gaming,parting,sports and politics",fashion and computing,no feedback
66,1,information technology,soccer,swimming,cisco,no
67,1,Doctor,art and drama,"soccer,fashion,music",Tourism,it was a great study
68,1,"Shop assistant, Information technician","Travelling, Reading","Reading, writing",Mathematics,no
69,1,"HR Intern, HR Officer, HR Consultant","Music, Sports, Night life","Watching sports, going out with friends, Netflix","Law, Business Administration, Politics",N/A
70,1,"Policeman, manager","Sport, politic, geography, history","Walking, visiting historical sites","history, geography",No
71,1,Teacher,Local politics,"Reading books, playing Gold",Financial inequality,No
72,1,Doctor,"sport, health and fitness","yoga, reading books and running",life sciences and computer programming,"no feedback, thank you so much."
73,1,"Admin Clerk, Buyer, Floor Manager, Finance, Admin Manager, Quality Assurance Manager, Teacher","Listening to music, reading books, cooking, swimming, playing with my kids.",Cooking,Knitting,This was a lovely study.
74,1,"Sales assistant, Production worker, Production planist / manager, Freight forwarder / Logistics manager","Global and local politics, psychology, football, quantum physics, philosophy (meaning of life)","read, exercise at the gym, watch football matches","quantum physics, space exploration, philosophy","Thank you, it was an interesting study."
75,1,Electrical engineer,"Art and design, Travel, Health and wellness","Food and cuisine, community service","Writing, Technology and innovation","No ,Thank you"
76,1,IT MANAGER,"MUSIC,SPORT,TECH","MUSIC,PLAYING PIANO, WATCHING MOVIES","PHOTOGRAPHY,WILD LIFE",NO
77,1,"Teacher, Store Assistant",Migration,"Reading, Writing, Cooking","Technology, Accounting",No
78,1,"sales assistant, IT technician","design, fashion,","playing games,sewing","coding,finance,language learning",no
79,1,"R&D researcher, VP polymers","culture, books, snooker","reading books, watching serials","human sport abilities, engineering's ideas","Very captive, but a bit long study! :)"
80,1,"Research assistant, PhD","Local politics, the economy and music","Watching tv, listening to music, reading","financial inequality, migration",Not really
81,1,"Call Center Clerk, Call Center Manager","Financial markets, TGC cards, RTS games, local politics","driving bike, playing with my kid, playing RTS games, listen to music.","philosophy,financial markets",That was a reaally strange study. Most of the items were'nt similar at all. I had to make hard choices from time to time.
82,1,"Engineer, graphic designer","sport results, inferior design, international politics","reading books, playing volley ball",computer progamming,no
83,1,"data analyst ,software developer","politics,sports,cinema,book reading","playing basketball,paintball,reading science fiction,reading comics,going to the movies,","accounting,astrophysics,gender studies",I just wanted to say that this study was very interesting.Happy to be part of it.
84,1,"IT specialist, Cybersecurity expert","martial arts, formula 1","reading classic literature, playing video games","philosophy, history",no
85,1,"Insurance Sales Representative, Financial Advisor,","Financial Markets, Sports, Technology, Interior Design and construction, History, Environment, Wildlife","Reading, cooking, cycling, playing video games, swimming and playing bad minton.","Religion ( Christianity), philosophy, technology.",N/A
86,1,Account Manager,"music, vinyl, fashion, sports, history, interior design, movies","listening to music, spinning vinyl, watching movies, scrolling social media","sustainability, theology, philosphy, ancient history, anything music",N/A
87,1,Software developer,"Sports, movie news","Playing cricket, listening music",Trading,No
88,1,computer scientist,"politics, games, reading","coding, gaming, reading",computer programming,none
89,1,Student,"Singing, dancing and playing soccer",soccer and netball,Business,no
90,1,teacher and  sales assistant,sport results,watch tv,"computer programming, philosophy",everything was good
91,1,Professional nurse,"Music, reading, cooking, working out and sports",Listening to music and singing along,"Biology, Midwifery and History",none
92,1,Software developer,"Psychology,local politics,stock market","Reading,Crochet","Stock market, Brain and its working,Reading","No, the study went smoothly :)"
93,1,"Head of department, Supervisor","Sports, Travel",Travelling,"Philosophy, finances",Very good study
94,1,IT,"Sports results, Gaming","Playing soccer, Gaming",Computer Programming,the task was interesting
95,1,"Waiter, assistant, supervisor, manager","Politics, debate","Cooking, traveling",Science,No
96,1,"manager, human resource",interior deign fashion and athletics,reading books and watching documentaries,scifi books and fantasy,No
97,1,Bartender,"Gaming, sports, pub","Playing cricket, tennis, pub, watching sports, gaming","Languages, coding",No
98,1,"customer service agent, tele seller, IT technician","music, politic, global warming, cars, content creating","content creating, car repairs, music","global warming, psychology",The study was fun.
100,1,IT Officer,Programming. reading journals,"Swimming, Socker, Hockey","Programming, mathematics, science",no
